x
0 1
10 -573 692
11 -704 1131
12 -726 824
13 -702 767
14 -716 887
15 -717 754
16 -649 1093
18 -645 791
20 -635 966
21 -687 877
22 -715 883
23 -638 864
24 -683 825
25 -586 706
26 -581 768
28 -760 1270
29 -668 954
56 -2091 1306
110 -587 687
111 -702 1152
112 -760 830
113 -716 761
114 -708 922
115 -708 753
116 -659 1097
118 -656 797
120 -645 1019
121 -707 871
122 -708 882
123 -641 867
124 -694 832
125 -610 690
126 -577 762
128 -768 1275
129 -655 977
156 -2060 1281
210 -570 678
211 -700 1144
212 -750 821
213 -702 766
214 -716 917
215 -713 754
216 -656 1093
218 -645 788
220 -642 983
221 -689 877
222 -715 883
223 -638 855
224 -683 835
225 -586 706
226 -581 759
228 -774 1278
229 -668 959
256 -2084 1306
310 -590 692
311 -696 1152
312 -761 829
313 -685 761
314 -698 903
315 -717 754
316 -666 1097
318 -641 791
320 -637 977
321 -706 870
322 -714 883
323 -620 864
324 -661 823
325 -586 706
326 -539 765
328 -769 1274
329 -655 954
356 -2091 1281
410 -587 685
411 -702 1144
412 -751 830
413 -698 775
414 -708 917
415 -721 752
416 -646 1082
418 -651 797
420 -645 1019
421 -692 871
422 -708 883
423 -652 857
424 -679 828
425 -594 717
426 -562 752
428 -768 1271
429 -652 977
456 -2057 1271
510 -600 692
511 -704 1150
512 -750 828
513 -702 766
514 -716 903
515 -705 752
516 -651 1093
518 -645 791
520 -629 1010
521 -681 877
522 -723 884
523 -630 863
524 -683 834
525 -587 718
526 -586 761
528 -769 1270
529 -668 959
556 -2083 1306
610 -592 687
611 -685 1152
612 -761 829
613 -716 761
614 -689 902
615 -717 758
616 -659 1097
618 -656 797
620 -643 976
621 -701 865
622 -714 883
623 -641 864
624 -694 832
625 -614 690
626 -581 762
628 -764 1274
629 -660 980
656 -2131 1281
710 -587 676
711 -700 1144
712 -760 830
713 -702 760
714 -698 922
715 -707 750
716 -656 1093
718 -645 791
720 -642 1019
721 -707 865
722 -715 883
723 -638 867
724 -683 835
725 -610 706
726 -581 759
728 -774 1275
729 -668 958
756 -2083 1304
810 -590 692
811 -696 1152
812 -761 829
813 -685 756
814 -716 903
815 -715 752
816 -666 1097
818 -641 781
820 -637 977
821 -706 877
822 -714 882
823 -620 863
824 -661 823
825 -586 718
826 -557 765
828 -769 1278
829 -643 975
856 -2084 1306
910 -547 686
911 -700 1149
912 -735 824
913 -698 775
914 -698 902
915 -713 758
916 -645 1082
918 -651 797
920 -643 1003
921 -681 859
922 -700 883
923 -652 857
924 -679 828
925 -587 717
926 -562 753
928 -774 1266
929 -660 977
956 -2131 1281
1010 -600 685
1011 -704 1150
1012 -750 829
1013 -689 761
1014 -699 905
1015 -705 754
1016 -651 1093
1018 -638 791
1020 -632 1010
1021 -689 870
1022 -723 884
1023 -620 863
1024 -665 825
1025 -587 699
1026 -586 786
1028 -769 1269
1029 -668 958
1056 -2091 1304
1110 -592 692
1111 -702 1152
1112 -761 825
1113 -688 761
1114 -708 915
1115 -698 752
1116 -659 1097
1118 -630 787
1120 -645 1003
1121 -701 871
1122 -714 871
1123 -634 859
1124 -661 828
1125 -614 706
1126 -581 762
1128 -768 1274
1129 -649 980
1156 -2060 1271
1210 -586 680
1211 -700 1150
1212 -760 828
1213 -698 766
1214 -698 922
1215 -707 751
1216 -656 1076
1218 -642 797
1220 -642 1008
1221 -707 865
1222 -703 883
1223 -638 867
1224 -679 835
1225 -610 706
1226 -577 761
1228 -774 1275
1229 -646 977
1256 -2074 1274
1310 -570 687
1311 -696 1141
1312 -723 829
1313 -656 760
1314 -697 903
1315 -717 754
1316 -666 1093
1318 -628 768
1320 -632 977
1321 -687 870
1322 -715 883
1323 -620 864
1324 -632 825
1325 -586 699
1326 -581 765
1328 -769 1278
1329 -668 975
1356 -2084 1304
1410 -590 684
1411 -687 1152
1412 -761 830
1413 -689 761
1414 -698 922
1415 -713 754
1416 -659 1097
1418 -641 781
1420 -643 1019
1421 -707 863
1422 -714 876
1423 -636 867
1424 -675 828
1425 -610 717
1426 -577 760
1428 -774 1275
1429 -646 953
1456 -2074 1274
1900 1 15
2000 -2.77679e+062 45
